"antibiotic_id","organism_id"
"AZM","B_ACNTB_BMNN-C"
"PEN","B_ACNTB_BMNN-C"
"CZO","B_ACNTB_BMNN-C"
"FOX","B_ACNTB_BMNN-C"
"CXM","B_ACNTB_BMNN-C"
"CLR","B_ACNTB_BMNN-C"
"CLI","B_ACNTB_BMNN-C"
"DAL","B_ACNTB_BMNN-C"
"ERY","B_ACNTB_BMNN-C"
"FUS","B_ACNTB_BMNN-C"
"LNZ","B_ACNTB_BMNN-C"
"ORI","B_ACNTB_BMNN-C"
"RIF","B_ACNTB_BMNN-C"
"TEC","B_ACNTB_BMNN-C"
"VAN","B_ACNTB_BMNN-C"
"AMX","B_CTRBC_FRND"
"AMC","B_CTRBC_FRND"
"AMP","B_CTRBC_FRND"
"SAM","B_CTRBC_FRND"
"AZM","B_CTRBC_FRND"
"PEN","B_CTRBC_FRND"
"CZO","B_CTRBC_FRND"
"FOX","B_CTRBC_FRND"
"CLR","B_CTRBC_FRND"
"CLI","B_CTRBC_FRND"
"DAL","B_CTRBC_FRND"
"ERY","B_CTRBC_FRND"
"FUS","B_CTRBC_FRND"
"LNZ","B_CTRBC_FRND"
"ORI","B_CTRBC_FRND"
"RIF","B_CTRBC_FRND"
"TEC","B_CTRBC_FRND"
"VAN","B_CTRBC_FRND"
"AMX","B_ENTRBC_CLOC"
"AMC","B_ENTRBC_CLOC"
"AMP","B_ENTRBC_CLOC"
"SAM","B_ENTRBC_CLOC"
"AZM","B_ENTRBC_CLOC"
"PEN","B_ENTRBC_CLOC"
"CZO","B_ENTRBC_CLOC"
"FOX","B_ENTRBC_CLOC"
"CLR","B_ENTRBC_CLOC"
"CLI","B_ENTRBC_CLOC"
"DAL","B_ENTRBC_CLOC"
"ERY","B_ENTRBC_CLOC"
"FUS","B_ENTRBC_CLOC"
"LNZ","B_ENTRBC_CLOC"
"ORI","B_ENTRBC_CLOC"
"RIF","B_ENTRBC_CLOC"
"TEC","B_ENTRBC_CLOC"
"VAN","B_ENTRBC_CLOC"
"AMK","B_ENTRC_FCLS"
"AZM","B_ENTRC_FCLS"
"ATM","B_ENTRC_FCLS"
"CZO","B_ENTRC_FCLS"
"FEP","B_ENTRC_FCLS"
"FDC","B_ENTRC_FCLS"
"CTX","B_ENTRC_FCLS"
"FOX","B_ENTRC_FCLS"
"CPT","B_ENTRC_FCLS"
"CAZ","B_ENTRC_FCLS"
"CZA","B_ENTRC_FCLS"
"CZT","B_ENTRC_FCLS"
"CRO","B_ENTRC_FCLS"
"CXM","B_ENTRC_FCLS"
"CLR","B_ENTRC_FCLS"
"CLI","B_ENTRC_FCLS"
"COL","B_ENTRC_FCLS"
"ERY","B_ENTRC_FCLS"
"FUS","B_ENTRC_FCLS"
"GEN","B_ENTRC_FCLS"
"STR1","B_ENTRC_FCLS"
"TOB","B_ENTRC_FCLS"
"AMK","B_ENTRC_FACM"
"AZM","B_ENTRC_FACM"
"ATM","B_ENTRC_FACM"
"CZO","B_ENTRC_FACM"
"FEP","B_ENTRC_FACM"
"FDC","B_ENTRC_FACM"
"CTX","B_ENTRC_FACM"
"FOX","B_ENTRC_FACM"
"CPT","B_ENTRC_FACM"
"CAZ","B_ENTRC_FACM"
"CZA","B_ENTRC_FACM"
"CZT","B_ENTRC_FACM"
"CRO","B_ENTRC_FACM"
"CXM","B_ENTRC_FACM"
"CLR","B_ENTRC_FACM"
"COL","B_ENTRC_FACM"
"ERY","B_ENTRC_FACM"
"FUS","B_ENTRC_FACM"
"GEN","B_ENTRC_FACM"
"STR1","B_ENTRC_FACM"
"TOB","B_ENTRC_FACM"
"AZM","B_ESCHR_COLI"
"PEN","B_ESCHR_COLI"
"CLR","B_ESCHR_COLI"
"CLI","B_ESCHR_COLI"
"DAL","B_ESCHR_COLI"
"ERY","B_ESCHR_COLI"
"FUS","B_ESCHR_COLI"
"LNZ","B_ESCHR_COLI"
"ORI","B_ESCHR_COLI"
"RIF","B_ESCHR_COLI"
"TEC","B_ESCHR_COLI"
"VAN","B_ESCHR_COLI"
"CLI","B_HMPHL_INFL"
"DAL","B_HMPHL_INFL"
"FUS","B_HMPHL_INFL"
"LNZ","B_HMPHL_INFL"
"ORI","B_HMPHL_INFL"
"TEC","B_HMPHL_INFL"
"VAN","B_HMPHL_INFL"
"AMX","B_KLBSL_OXYT"
"AMP","B_KLBSL_OXYT"
"AZM","B_KLBSL_OXYT"
"PEN","B_KLBSL_OXYT"
"CLR","B_KLBSL_OXYT"
"CLI","B_KLBSL_OXYT"
"DAL","B_KLBSL_OXYT"
"ERY","B_KLBSL_OXYT"
"FUS","B_KLBSL_OXYT"
"LNZ","B_KLBSL_OXYT"
"ORI","B_KLBSL_OXYT"
"RIF","B_KLBSL_OXYT"
"TEC","B_KLBSL_OXYT"
"VAN","B_KLBSL_OXYT"
"AMX","B_KLBSL_PNMN"
"AMP","B_KLBSL_PNMN"
"AZM","B_KLBSL_PNMN"
"PEN","B_KLBSL_PNMN"
"CLR","B_KLBSL_PNMN"
"CLI","B_KLBSL_PNMN"
"DAL","B_KLBSL_PNMN"
"ERY","B_KLBSL_PNMN"
"FUS","B_KLBSL_PNMN"
"LNZ","B_KLBSL_PNMN"
"ORI","B_KLBSL_PNMN"
"RIF","B_KLBSL_PNMN"
"TEC","B_KLBSL_PNMN"
"VAN","B_KLBSL_PNMN"
"CLI","B_MRXLL_CTRR"
"DAL","B_MRXLL_CTRR"
"LNZ","B_MRXLL_CTRR"
"ORI","B_MRXLL_CTRR"
"TEC","B_MRXLL_CTRR"
"TMP","B_MRXLL_CTRR"
"VAN","B_MRXLL_CTRR"
"AMX","B_MRGNL_MRGN"
"AMC","B_MRGNL_MRGN"
"AMP","B_MRGNL_MRGN"
"SAM","B_MRGNL_MRGN"
"AZM","B_MRGNL_MRGN"
"PEN","B_MRGNL_MRGN"
"CZO","B_MRGNL_MRGN"
"CLR","B_MRGNL_MRGN"
"CLI","B_MRGNL_MRGN"
"COL","B_MRGNL_MRGN"
"DAL","B_MRGNL_MRGN"
"DOX","B_MRGNL_MRGN"
"ERY","B_MRGNL_MRGN"
"FUS","B_MRGNL_MRGN"
"LNZ","B_MRGNL_MRGN"
"MNO","B_MRGNL_MRGN"
"NIT","B_MRGNL_MRGN"
"ORI","B_MRGNL_MRGN"
"RIF","B_MRGNL_MRGN"
"TEC","B_MRGNL_MRGN"
"TCY","B_MRGNL_MRGN"
"TGC","B_MRGNL_MRGN"
"VAN","B_MRGNL_MRGN"
"AZM","B_PROTS_MRBL"
"PEN","B_PROTS_MRBL"
"CLR","B_PROTS_MRBL"
"CLI","B_PROTS_MRBL"
"COL","B_PROTS_MRBL"
"DAL","B_PROTS_MRBL"
"DOX","B_PROTS_MRBL"
"ERY","B_PROTS_MRBL"
"FUS","B_PROTS_MRBL"
"LNZ","B_PROTS_MRBL"
"MNO","B_PROTS_MRBL"
"NIT","B_PROTS_MRBL"
"ORI","B_PROTS_MRBL"
"RIF","B_PROTS_MRBL"
"TEC","B_PROTS_MRBL"
"TCY","B_PROTS_MRBL"
"TGC","B_PROTS_MRBL"
"VAN","B_PROTS_MRBL"
"AMX","B_PSDMN_AERG"
"AMC","B_PSDMN_AERG"
"AMP","B_PSDMN_AERG"
"SAM","B_PSDMN_AERG"
"AZM","B_PSDMN_AERG"
"PEN","B_PSDMN_AERG"
"CZO","B_PSDMN_AERG"
"CTX","B_PSDMN_AERG"
"FOX","B_PSDMN_AERG"
"CRO","B_PSDMN_AERG"
"CXM","B_PSDMN_AERG"
"CLR","B_PSDMN_AERG"
"CLI","B_PSDMN_AERG"
"DAL","B_PSDMN_AERG"
"DOX","B_PSDMN_AERG"
"ETP","B_PSDMN_AERG"
"ERY","B_PSDMN_AERG"
"FUS","B_PSDMN_AERG"
"LNZ","B_PSDMN_AERG"
"MNO","B_PSDMN_AERG"
"ORI","B_PSDMN_AERG"
"RIF","B_PSDMN_AERG"
"TEC","B_PSDMN_AERG"
"TCY","B_PSDMN_AERG"
"TGC","B_PSDMN_AERG"
"TMP","B_PSDMN_AERG"
"VAN","B_PSDMN_AERG"
"AMX","B_SERRT_MRCS"
"AMC","B_SERRT_MRCS"
"AMP","B_SERRT_MRCS"
"SAM","B_SERRT_MRCS"
"AZM","B_SERRT_MRCS"
"PEN","B_SERRT_MRCS"
"CZO","B_SERRT_MRCS"
"FOX","B_SERRT_MRCS"
"CXM","B_SERRT_MRCS"
"CLR","B_SERRT_MRCS"
"CLI","B_SERRT_MRCS"
"COL","B_SERRT_MRCS"
"DAL","B_SERRT_MRCS"
"ERY","B_SERRT_MRCS"
"FUS","B_SERRT_MRCS"
"LNZ","B_SERRT_MRCS"
"NIT","B_SERRT_MRCS"
"ORI","B_SERRT_MRCS"
"RIF","B_SERRT_MRCS"
"TEC","B_SERRT_MRCS"
"VAN","B_SERRT_MRCS"
"ATM","B_STPHY_AURS"
"CAZ","B_STPHY_AURS"
"COL","B_STPHY_AURS"
"ATM","B_STPHY_EPDR"
"CAZ","B_STPHY_EPDR"
"COL","B_STPHY_EPDR"
"ATM","B_STPHY_LGDN"
"CAZ","B_STPHY_LGDN"
"COL","B_STPHY_LGDN"
"AMK","B_STNTR_MLTP"
"AMX","B_STNTR_MLTP"
"AMC","B_STNTR_MLTP"
"AMP","B_STNTR_MLTP"
"SAM","B_STNTR_MLTP"
"AZM","B_STNTR_MLTP"
"ATM","B_STNTR_MLTP"
"PEN","B_STNTR_MLTP"
"CZO","B_STNTR_MLTP"
"CTX","B_STNTR_MLTP"
"FOX","B_STNTR_MLTP"
"CRO","B_STNTR_MLTP"
"CXM","B_STNTR_MLTP"
"CLR","B_STNTR_MLTP"
"CLI","B_STNTR_MLTP"
"DAL","B_STNTR_MLTP"
"ETP","B_STNTR_MLTP"
"ERY","B_STNTR_MLTP"
"FOS","B_STNTR_MLTP"
"FUS","B_STNTR_MLTP"
"GEN","B_STNTR_MLTP"
"IPM","B_STNTR_MLTP"
"LNZ","B_STNTR_MLTP"
"MEM","B_STNTR_MLTP"
"ORI","B_STNTR_MLTP"
"PIP","B_STNTR_MLTP"
"TZP","B_STNTR_MLTP"
"RIF","B_STNTR_MLTP"
"STR1","B_STNTR_MLTP"
"TEC","B_STNTR_MLTP"
"TCY","B_STNTR_MLTP"
"TOB","B_STNTR_MLTP"
"TMP","B_STNTR_MLTP"
"VAN","B_STNTR_MLTP"
"AMK","B_STRPT_AGLC"
"ATM","B_STRPT_AGLC"
"CAZ","B_STRPT_AGLC"
"COL","B_STRPT_AGLC"
"FUS","B_STRPT_AGLC"
"GEN","B_STRPT_AGLC"
"STR1","B_STRPT_AGLC"
"TOB","B_STRPT_AGLC"
"AMK","B_STRPT_PNMN"
"ATM","B_STRPT_PNMN"
"CAZ","B_STRPT_PNMN"
"COL","B_STRPT_PNMN"
"FUS","B_STRPT_PNMN"
"GEN","B_STRPT_PNMN"
"STR1","B_STRPT_PNMN"
"TOB","B_STRPT_PNMN"
"AMK","B_STRPT_PYGN"
"ATM","B_STRPT_PYGN"
"CAZ","B_STRPT_PYGN"
"COL","B_STRPT_PYGN"
"FUS","B_STRPT_PYGN"
"GEN","B_STRPT_PYGN"
"STR1","B_STRPT_PYGN"
"TOB","B_STRPT_PYGN"
