organism_id,antibiotic_id,resistance_pct,n_isolates
B_ACNTB_BMNN-C,AMK,,2239
B_ACNTB_BMNN-C,CIP,,7964
B_ACNTB_BMNN-C,GEN,,6952
B_ACNTB_BMNN-C,IPM,,7068
B_ACNTB_BMNN-C,LVX,,4436
B_ACNTB_BMNN-C,MEM,,7939
B_ACNTB_BMNN-C,SXT,,7837
B_ACNTB_BMNN-C,TOB,,3577
B_CTRBC_FRND,AMK,,1057
B_CTRBC_FRND,CAZ,,13377
B_CTRBC_FRND,CIP,,13389
B_CTRBC_FRND,CRO,,7624
B_CTRBC_FRND,CTX,,12650
B_CTRBC_FRND,ETP,,9484
B_CTRBC_FRND,FEP,,4546
B_CTRBC_FRND,FOS,,5658
B_CTRBC_FRND,GEN,,9869
B_CTRBC_FRND,IPM,,8986
B_CTRBC_FRND,LVX,,5309
B_CTRBC_FRND,MEC,,1807
B_CTRBC_FRND,MEM,,13379
B_CTRBC_FRND,MFX,,935
B_CTRBC_FRND,PIP,,9361
B_CTRBC_FRND,SXT,,13437
B_CTRBC_FRND,TMP,,4510
B_CTRBC_FRND,TOB,,1493
B_CTRBC_FRND,TZP,,13396
B_ENTRBC_CLOC,AMK,,3345
B_ENTRBC_CLOC,CAZ,,46129
B_ENTRBC_CLOC,CIP,,46271
B_ENTRBC_CLOC,CRO,,26070
B_ENTRBC_CLOC,CTX,,44007
B_ENTRBC_CLOC,ETP,,31099
B_ENTRBC_CLOC,FEP,,14241
B_ENTRBC_CLOC,FOS,,18060
B_ENTRBC_CLOC,GEN,,36935
B_ENTRBC_CLOC,IPM,,34391
B_ENTRBC_CLOC,LVX,,19307
B_ENTRBC_CLOC,MEC,,5170
B_ENTRBC_CLOC,MEM,,46392
B_ENTRBC_CLOC,MFX,,4224
B_ENTRBC_CLOC,PIP,,32386
B_ENTRBC_CLOC,SXT,,46534
B_ENTRBC_CLOC,TMP,,11733
B_ENTRBC_CLOC,TOB,,5174
B_ENTRBC_CLOC,TZP,,46455
B_ENTRC_FACM,AMC,,1538
B_ENTRC_FACM,AMP,,4522
B_ENTRC_FACM,AMX,,1074
B_ENTRC_FACM,CIP,,1375
B_ENTRC_FACM,GEH,,3943
B_ENTRC_FACM,IPM,,5212
B_ENTRC_FACM,LNZ,,5413
B_ENTRC_FACM,LVX,,2753
B_ENTRC_FACM,SAM,,4137
B_ENTRC_FACM,STH,,395
B_ENTRC_FACM,TEC,,4746
B_ENTRC_FACM,TGC,,4488
B_ENTRC_FACM,VAN,,5439
B_ENTRC_FCLS,AMC,,52520
B_ENTRC_FCLS,AMP,,101896
B_ENTRC_FCLS,AMX,,34934
B_ENTRC_FCLS,CIP,,47695
B_ENTRC_FCLS,GEH,,59623
B_ENTRC_FCLS,IPM,,118362
B_ENTRC_FCLS,LNZ,,116081
B_ENTRC_FCLS,LVX,,98116
B_ENTRC_FCLS,NIT,,90309
B_ENTRC_FCLS,SAM,,103682
B_ENTRC_FCLS,STH,,10034
B_ENTRC_FCLS,TEC,,97313
B_ENTRC_FCLS,TGC,,95432
B_ENTRC_FCLS,VAN,,126908
B_ESCHR_COLI,AMC,,231629
B_ESCHR_COLI,AMK,,22740
