organism_id,antibiotic_id,resistance_pct,n_isolates
B_ACNTB_BMNN-C,AMK,8.4,2239
B_ACNTB_BMNN-C,GEN,5.4,6952
B_ACNTB_BMNN-C,TOB,5.4,3577
B_ACNTB_BMNN-C,IPM,5.2,7068
B_ACNTB_BMNN-C,MEM,4.6,7939
B_ACNTB_BMNN-C,CIP,7.0,7964
B_ACNTB_BMNN-C,LVX,7.2,4436
B_ACNTB_BMNN-C,SXT,5.3,7837
B_CTRBC_FRND,AMK,1.0,1057
B_CTRBC_FRND,GEN,2.9,9869
B_CTRBC_FRND,TOB,6.4,1493
B_CTRBC_FRND,ETP,2.2,9484
B_CTRBC_FRND,IPM,0.9,8986
B_CTRBC_FRND,MEM,0.6,13379
B_CTRBC_FRND,FEP,7.7,4546
B_CTRBC_FRND,CTX,25.7,12650
B_CTRBC_FRND,CAZ,25.3,13377
B_CTRBC_FRND,CRO,24.6,7624
B_CTRBC_FRND,CIP,7.6,13389
B_CTRBC_FRND,LVX,7.8,5309
B_CTRBC_FRND,MFX,15.0,935
B_CTRBC_FRND,MEC,11.8,1807
B_CTRBC_FRND,PIP,34.3,9361
B_CTRBC_FRND,TZP,21.5,13396
B_CTRBC_FRND,SXT,5.5,13437
B_CTRBC_FRND,FOS,2.5,5658
B_CTRBC_FRND,TMP,8.4,4510
B_ENTRC_FCLS,GEN,11.9,59623
B_ENTRC_FCLS,STR1,13.7,10034
B_ENTRC_FCLS,IPM,0.3,118366
B_ENTRC_FCLS,CIP,24.1,47695
B_ENTRC_FCLS,LVX,21.0,98116
B_ENTRC_FCLS,TEC,0.2,97317
B_ENTRC_FCLS,VAN,0.1,126912
B_ENTRC_FCLS,AMX,2.4,34934
B_ENTRC_FCLS,AMC,1.6,52520
B_ENTRC_FCLS,AMP,0.2,101900
B_ENTRC_FCLS,SAM,0.1,103686
B_ENTRC_FCLS,LNZ,0.2,116085
B_ENTRC_FCLS,NIT,1.0,90309
B_ENTRC_FCLS,TGC,0.1,95436
B_ENTRC_FACM,GEN,56.7,3943
B_ENTRC_FACM,STR1,73.9,395
B_ENTRC_FACM,IPM,94.5,5212
B_ENTRC_FACM,CIP,95.3,1375
B_ENTRC_FACM,LVX,94.5,2753
B_ENTRC_FACM,TEC,6.9,4746
B_ENTRC_FACM,VAN,13.3,5439
B_ENTRC_FACM,AMX,96.2,1074
B_ENTRC_FACM,AMC,94.3,1538
B_ENTRC_FACM,AMP,93.9,4522
B_ENTRC_FACM,SAM,93.7,4137
B_ENTRC_FACM,LNZ,1.0,5413
B_ENTRC_FACM,TGC,0.4,4488
B_ESCHR_COLI,AMK,1.4,22740
B_ESCHR_COLI,GEN,4.6,219037
B_ESCHR_COLI,TOB,7.6,33858
B_ESCHR_COLI,ETP,0.2,267627
B_ESCHR_COLI,IPM,0.1,186785
B_ESCHR_COLI,MEM,0.0,370538
B_ESCHR_COLI,FEP,8.9,119061
B_ESCHR_COLI,CTX,9.6,353079
B_ESCHR_COLI,CAZ,9.4,370431
B_ESCHR_COLI,CRO,9.0,206194
B_ESCHR_COLI,CXM,13.8,354588
B_ESCHR_COLI,CIP,15.4,371116
B_ESCHR_COLI,LVX,14.9,143752
B_ESCHR_COLI,MFX,20.0,22851
B_ESCHR_COLI,AMX,45.3,86715
B_ESCHR_COLI,AMC,33.5,231629
B_ESCHR_COLI,AMP,45.0,337694
B_ESCHR_COLI,SAM,36.5,259421
B_ESCHR_COLI,MEC,6.6,231299
B_ESCHR_COLI,PIP,45.0,250470
B_ESCHR_COLI,TZP,7.3,372486
B_ESCHR_COLI,SXT,20.2,373456
B_ESCHR_COLI,FOS,1.7,241736
B_ESCHR_COLI,NIT,0.8,256944
B_ESCHR_COLI,TMP,23.1,179854
B_ESCHR_COLI,TGC,2.2,117723
B_KLBSL_OXYT,AMK,0.4,3048
B_KLBSL_OXYT,GEN,0.7,32763
B_KLBSL_OXYT,TOB,1.7,4767
B_KLBSL_OXYT,ETP,0.2,30938
B_KLBSL_OXYT,IPM,0.1,29840
B_KLBSL_OXYT,MEM,0.1,44845
B_KLBSL_OXYT,FEP,2.9,12290
B_KLBSL_OXYT,CTX,5.2,42484
B_KLBSL_OXYT,CAZ,2.9,44808
B_KLBSL_OXYT,CRO,5.8,24996
B_KLBSL_OXYT,CXM,16.7,42923
B_KLBSL_OXYT,CIP,2.7,44948
B_KLBSL_OXYT,LVX,3.0,18384
B_KLBSL_OXYT,MFX,3.9,3626
B_KLBSL_OXYT,AMC,21.8,22780
B_KLBSL_OXYT,SAM,29.6,34450
B_KLBSL_OXYT,MEC,37.0,5361
B_KLBSL_OXYT,TZP,15.8,45003
B_KLBSL_OXYT,SXT,2.4,45085
B_KLBSL_OXYT,FOS,25.7,18825
B_KLBSL_OXYT,TMP,4.3,14046
B_KLBSL_PNMN,AMK,4.3,6624
B_KLBSL_PNMN,GEN,3.9,64321
B_KLBSL_PNMN,TOB,10.2,9862
B_KLBSL_PNMN,ETP,1.7,68741
B_KLBSL_PNMN,IPM,1.4,56444
B_KLBSL_PNMN,MEM,0.9,96405
B_KLBSL_PNMN,FEP,10.7,28321
B_KLBSL_PNMN,CTX,10.6,91645
B_KLBSL_PNMN,CAZ,10.9,95888
B_KLBSL_PNMN,CRO,10.1,53584
B_KLBSL_PNMN,CXM,15.4,92066
B_KLBSL_PNMN,CIP,11.5,96420
B_KLBSL_PNMN,LVX,11.0,39061
B_KLBSL_PNMN,MFX,16.3,6895
B_KLBSL_PNMN,AMC,22.6,53293
B_KLBSL_PNMN,SAM,26.8,68903
B_KLBSL_PNMN,MEC,32.2,14233
B_KLBSL_PNMN,TZP,15.3,96597
B_KLBSL_PNMN,SXT,10.1,96886
B_KLBSL_PNMN,FOS,23.2,45793
B_KLBSL_PNMN,TMP,13.4,37140
B_MRGNL_MRGN,AMK,1.5,1476
B_MRGNL_MRGN,GEN,4.2,12722
B_MRGNL_MRGN,TOB,4.8,2211
B_MRGNL_MRGN,ETP,0.3,12798
B_MRGNL_MRGN,IPM,13.8,9858
B_MRGNL_MRGN,MEM,0.0,18581
B_MRGNL_MRGN,FEP,8.7,5926
B_MRGNL_MRGN,CTX,20.1,17592
B_MRGNL_MRGN,CAZ,18.9,18521
B_MRGNL_MRGN,CRO,17.6,9931
B_MRGNL_MRGN,CIP,9.4,18608
